tema,mikrotema,amzius,sritis,piko_menesiai,evergreen,konkurencija,pardavimo_potencialas,gamybos_sanaudos_d,isankstinio_paskelbimo_dienos,formatas,produkto_ideja,uzduociu_pavyzdziai,kampai,teorijos_lygis,saltiniu_kryptis,produkto_apimtis,auditorija
Procentai,Procento dalies radimas,11–14 m.,Matematika,"vasaris,kovas,balandis",5,aukšta,labai aukštas,6,32,PPT,„Kiek yra 15%?“,Rask procentinę dalį | Rask visumą pagal dalį | Spręsk nuolaidos situaciją | Palygink dvi nuolaidas | Rask klaidą,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Lygtys,Vieno žingsnio lygtys,10–12 m.,Matematika,"rugsėjis,spalis,sausis",5,aukšta,labai aukštas,5,28,PPT,„Atrask x“,x+7=19 | 25-x=9 | 4x=28 | x:5=6 | Pasirink teisingą sprendimo žingsnį,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Lygtys,Dviejų žingsnių lygtys,11–14 m.,Matematika,"spalis,lapkritis,sausis",5,aukšta,aukštas,6,30,PPT,„Lygčių kelias“,2x+3=17 | 5x-8=22 | Rask pirmą žingsnį | Rask klaidą | Patikrink sprendinį,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Neigiami skaičiai,Veiksmai su teigiamais ir neigiamais skaičiais,11–14 m.,Matematika,"rugsėjis,spalis,sausis",5,vidutinė,aukštas,5,28,PPT,„Skaičių temperatūra“,Sudėtis su neigiamais | Atimtis su neigiamais | Skaičių tiesė | Temperatūros pokyčiai | Rask klaidą,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Santykiai ir proporcijos,Proporcijų taikymas situacijose,11–14 m.,Matematika,"sausis,vasaris,kovas",5,vidutinė,aukštas,6,32,PDF / PPT,„Proporcijų detektyvai“,Recepto mastelio keitimas | Žemėlapio mastelis | Kainos ir kiekio santykis | Rask nežinomą narį | Atpažink neproporcingą situaciją,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Geometrija,Kampų rūšys ir kampų matavimas,10–13 m.,Matematika,"vasaris,kovas",5,vidutinė,aukštas,5,28,PPT + PDF,„Kampų inspektorius“,Atpažink kampo rūšį | Apskaičiuok trūkstamą kampą | Rask neteisingą teiginį | Klasifikuok kampus | Sukurk kampą pagal dydį,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Teksto suvokimas,Informacinio teksto suvokimas,10–14 m.,Lietuvių kalba,"rugsėjis,spalis,sausis",5,aukšta,labai aukštas,6,30,PDF / PPT,„Teksto įrodymai“,Rask pagrindinę mintį | Atrink faktą ir nuomonę | Rask įrodymą | Sudėliok informaciją pagal svarbą | Sugalvok antraštę,atpažinti | taikyti kontekste | paaiškinti / taisyti klaidą,reikia šaltinių,"Aktuali lietuvių kalbos ir literatūros bendroji programa, VLKK / patikima metodinė medžiaga.",24–40 užduočių / keli lygiai,pedagogai
Kalbos dalys,Kalbos dalių atpažinimas kontekste,10–13 m.,Lietuvių kalba,"rugsėjis,spalis,lapkritis",5,aukšta,aukštas,5,28,PPT,„Kas čia per žodis?“,Nustatyk kalbos dalį | Rask netinkamą žodį | Pakeisk žodį kita kalbos dalimi | Klasifikuok sakinio žodžius | Paaiškink pasirinkimą,atpažinti | taikyti kontekste | paaiškinti / taisyti klaidą,reikia šaltinių,"Aktuali lietuvių kalbos ir literatūros bendroji programa, VLKK / patikima metodinė medžiaga.",24–40 užduočių / keli lygiai,pedagogai
Rašyba,Nosinių balsių ir ilgųjų balsių rašyba,10–13 m.,Lietuvių kalba,"rugsėjis,spalis,sausis",5,aukšta,aukštas,5,28,PDF / PPT,„Rašybos spąstai“,Įrašyk trūkstamą raidę | Rask klaidą | Sujunk žodį su taisykle | Atrink teisingai parašytus žodžius | Paaiškink rašybą,atpažinti | taikyti kontekste | paaiškinti / taisyti klaidą,reikia šaltinių,"Aktuali lietuvių kalbos ir literatūros bendroji programa, VLKK / patikima metodinė medžiaga.",24–40 užduočių / keli lygiai,pedagogai
Skyryba,Vienarūšių sakinio dalių skyryba,11–14 m.,Lietuvių kalba,"sausis,vasaris,kovas",5,vidutinė,aukštas,6,30,PPT,„Kur dėti kablelį?“,Įrašyk kablelius | Rask neteisingai suskirstytą sakinį | Paaiškink skyrybą | Pataisyk sakinį | Sukurk sakinį pagal modelį,atpažinti | taikyti kontekste | paaiškinti / taisyti klaidą,reikia šaltinių,"Aktuali lietuvių kalbos ir literatūros bendroji programa, VLKK / patikima metodinė medžiaga.",24–40 užduočių / keli lygiai,pedagogai
Duonos kelias,Nuo grūdo iki duonos,5–10 m.,Pasaulio pažinimas / etnokultūra,"sausis,vasaris,spalis",3,žema,aukštas,3,26,PDF sekos kortelės + užduotys,„Nuo grūdo iki duonos“,Sudėliok 10–12 etapų seką | Kas buvo prieš / po? | Sujunk profesiją su darbu | Atpažink grūdines kultūras | Perskaityk tekstą ir atsakyk | Rask senovinį ir šiuolaikinį įrankį,atpažinti | susieti / rūšiuoti | paaiškinti / pritaikyti,bendras,Aktualios ugdymo programos ir metodinė medžiaga.,24–36 užduotys / kortelės,pedagogai
Tvarumas,Atliekų rūšiavimas ir atsakingas vartojimas,5–12 m.,Gamtos / gyvenimo įgūdžiai,"kovas,balandis",4,vidutinė,aukštas,4,28,PDF / PPT,„Kur keliauja šiukšlė?“,Rūšiuok atliekas | Rask daugkartinę alternatyvą | Kas mažina atliekas? | Situacijų pasirinkimai | Rask netinkamą elgesį,atpažinti | susieti / klasifikuoti | taikyti realioje situacijoje,būtina tikrinti,Aktuali bendroji programa + oficialūs institucijų / mokslo šaltiniai konkrečiai teorijai.,24–36 užduotys / kortelės,pedagogai
Finansinis raštingumas,"Pinigai, pasirinkimai ir biudžetas",8–14 m.,Gyvenimo įgūdžiai / matematika,"spalis,sausis,balandis",5,vidutinė,labai aukštas,6,30,PPT / PDF,„Mano mažasis biudžetas“,Sudaryk krepšelį pagal biudžetą | Atskirk norą nuo poreikio | Apskaičiuok grąžą | Palygink kainas | Pasirink naudingesnį variantą,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Saugus internetas,Skaitmeninis saugumas ir privatumas,8–14 m.,Gyvenimo įgūdžiai / informatika,"sausis,vasaris",4,vidutinė,labai aukštas,5,30,Situacijų kortelės / PPT,„Ką darytum internete?“,Ar dalintis slaptažodžiu? | Atpažink įtartiną žinutę | Privatumo situacija | Ką daryti gavus patyčių žinutę | Rask saugų pasirinkimą,atpažinti | susieti / klasifikuoti | taikyti realioje situacijoje,būtina tikrinti,Aktuali bendroji programa + oficialūs institucijų / mokslo šaltiniai konkrečiai teorijai.,24–36 užduotys / kortelės,pedagogai
STEAM,Praktinės mini užduotys su kasdieniais objektais,5–12 m.,STEAM,"rugsėjis,sausis,balandis",4,vidutinė,aukštas,5,28,PDF užduočių kortelės,„30 mini STEAM iššūkių“,"Pastatyk tiltą iš popieriaus | Sukurk šešėlį ir išmatuok | Išbandyk, kas plūduriuoja | Sukurk paprastą grandinę | Išmatuok ir palygink",atpažinti | susieti / klasifikuoti | taikyti realioje situacijoje,būtina tikrinti,Aktuali bendroji programa + oficialūs institucijų / mokslo šaltiniai konkrečiai teorijai.,24–36 užduotys / kortelės,pedagogai
Profesijos,Šiuolaikinės profesijos ir gebėjimai,7–14 m.,Karjeros / visuomeninis ugdymas,"spalis,gegužė",4,žema,aukštas,4,24,PDF kortelės,„Ką veikia šis specialistas?“,Sujunk profesiją su veikla | Kokio gebėjimo reikia? | Kuri profesija sprendžia šią problemą? | Rask netinkamą įrankį | Sukurk profesijos aprašą,atpažinti | susieti / klasifikuoti | taikyti realioje situacijoje,būtina tikrinti,Aktuali bendroji programa + oficialūs institucijų / mokslo šaltiniai konkrečiai teorijai.,24–36 užduotys / kortelės,pedagogai
Dekoras,Boružiukų grupės dekoro rinkinys,3–7 m.,Dekoras,"birželis,liepa,rugpjūtis",4,aukšta,labai aukštas,7,35,Redaguojamas PPTX + PDF,Boružiukų grupės 20 dalių dekoro rinkinys,Durų plakatas | Pasisveikinimai | Gimtadieniai | Orai | Metų laikai | Mėnesiai | Savaitės dienos | Skaičiai | Abėcėlė | Geometrinės figūros | Afirmacijos | Kūno dalys,pilnas 17 dalių rinkinys | nauja grupės tematika | kitų metų papildymai / 20 dalių versija,bendras,"Darželių grupių pavadinimų paieškos, sezoniškumas ir tavo katalogo paklausa.",17 dalių dekoro rinkinys,pedagogai
Dekoras,Paukščiukų grupės dekoro rinkinys,3–7 m.,Dekoras,"birželis,liepa,rugpjūtis",4,aukšta,labai aukštas,7,35,Redaguojamas PPTX + PDF,Paukščiukų grupės 20 dalių dekoro rinkinys,Vieningas watercolor stilius | Vardų kortelės | Lovyčių kortelės | Emocijos | Mandagumo žodžiai | Spalvos | Afirmacijos,pilnas 17 dalių rinkinys | nauja grupės tematika | kitų metų papildymai / 20 dalių versija,bendras,"Darželių grupių pavadinimų paieškos, sezoniškumas ir tavo katalogo paklausa.",17 dalių dekoro rinkinys,pedagogai
Dekoras,Meškiukų grupės dekoro rinkinys,3–7 m.,Dekoras,"birželis,liepa,rugpjūtis",4,aukšta,aukštas,7,35,Redaguojamas PPTX + PDF,Meškiukų grupės pilnas dekoro rinkinys,Antraštės | Grupės taisyklės | Orai | Metų laikai | Skaičiai | Abėcėlė | Vardų kortelės,pilnas 17 dalių rinkinys | nauja grupės tematika | kitų metų papildymai / 20 dalių versija,bendras,"Darželių grupių pavadinimų paieškos, sezoniškumas ir tavo katalogo paklausa.",17 dalių dekoro rinkinys,pedagogai
Dekoras,Ežiukų grupės dekoro rinkinys,3–7 m.,Dekoras,"birželis,liepa,rugpjūtis",4,vidutinė,aukštas,7,35,Redaguojamas PPTX + PDF,Ežiukų grupės pilnas dekoro rinkinys,Gamtos stilistika | Rudens akcentai | Vardų kortelės | Pasisveikinimai | Emocijos | Skaičiai,pilnas 17 dalių rinkinys | nauja grupės tematika | kitų metų papildymai / 20 dalių versija,bendras,"Darželių grupių pavadinimų paieškos, sezoniškumas ir tavo katalogo paklausa.",17 dalių dekoro rinkinys,pedagogai
Dekoras,Žvaigždučių grupės dekoro rinkinys,3–7 m.,Dekoras,"birželis,liepa,rugpjūtis",4,vidutinė,aukštas,7,35,Redaguojamas PPTX + PDF,Žvaigždučių grupės pilnas dekoro rinkinys,Sužmogintos žvaigždutės | Orai | Gimtadieniai | Metų laikai | Savaitės dienos | Vardų kortelės,pilnas 17 dalių rinkinys | nauja grupės tematika | kitų metų papildymai / 20 dalių versija,bendras,"Darželių grupių pavadinimų paieškos, sezoniškumas ir tavo katalogo paklausa.",17 dalių dekoro rinkinys,pedagogai
Žaismė ir atradimai,"Aš – matomas ir nematomas: kūnas, pojūčiai, emocijos",3–6 m.,Ikimokyklinis ugdymas,"rugsėjis,sausis,balandis",4,vidutinė,aukštas,4,24,PDF kortelės / plakatai,„Ką jaučia mano kūnas?“ situacijų ir pojūčių rinkinys,Atpažink kūno signalą | Susiek pojūtį su situacija | Kur jaučiu emociją? | Kūno dalys | Poreikių išreiškimas | Panašumai ir skirtumai,situacija → pasirinkimas | ką pasakyti? | kas nutiktų toliau?,reikia šaltinių,"Ikimokyklinio / priešmokyklinio ugdymo programos, socialinio-emocinio ugdymo metodinė medžiaga.",24–30 situacijų + 2 lygiai,pedagogai
Žaismė ir atradimai,"Judantis pasaulis: judėjimas, greitis, kryptis",3–6 m.,Ikimokyklinis ugdymas,"rugsėjis,spalis,balandis",4,žema,aukštas,4,24,PDF / judesio kortelės,„Kas juda ir kaip?“,Greitai / lėtai | Aukštyn / žemyn | Toli / arti | Rūšiuok judančius objektus | Atkartok judesį | Numanyk kas bus toliau,atpažinti | susieti / rūšiuoti | paaiškinti / pritaikyti,bendras,Aktualios ugdymo programos ir metodinė medžiaga.,24–36 užduotys / kortelės,pedagogai
Žaismė ir atradimai,Žaliasis pieštukas: gamta ir aplinkos tyrinėjimas,3–6 m.,Ikimokyklinis ugdymas,"rugsėjis,balandis,gegužė",4,žema,aukštas,4,24,PDF tyrinėjimo kortelės,„Mažasis gamtos tyrinėtojas“,Rask požymį | Stebėk ir pažymėk | Rūšiuok gamtos objektus | Kas pasikeitė? | Spėk pagal dalį | Mini tyrinėjimo užduotys,atpažinti | susieti / klasifikuoti | taikyti realioje situacijoje,būtina tikrinti,Aktuali bendroji programa + oficialūs institucijų / mokslo šaltiniai konkrečiai teorijai.,24–36 užduotys / kortelės,pedagogai
Socialinis-emocinis ugdymas,Konfliktų sprendimas tarp vaikų,4–7 m.,Socialinis-emocinis ugdymas,"rugsėjis,sausis,vasaris",5,vidutinė,labai aukštas,3,21,PDF / PPT,Kaip pasielgtum? Konfliktai tarp vaikų,Abu vaikai nori tos pačios mašinėlės – ką galėtum pasakyti? | Draugas sugriovė bokštą – kuris sprendimas padėtų susitarti? | Tavęs nepriima į žaidimą – pasirink 2 tinkamus veiksmus | Draugas paėmė pieštuką neatsiklausęs – ką pasakytum? | Abu norite būti pirmi eilėje – rask taikų sprendimą | Kas nutiktų toliau pasirinkus pyktį ar susitarimą? | Rask du skirtingus gerus sprendimus | Sugalvok savo tinkamą frazę,situacija → pasirinkimas | ką pasakyti? | pasekmės,reikia šaltinių,Ikimokyklinio/priešmokyklinio ugdymo programos ir SEL metodinė medžiaga.,"24–30 situacijų, 2 lygiai",pedagogai
Socialinis-emocinis ugdymas,Asmeninės ribos ir sutikimas,4–8 m.,Socialinis-emocinis ugdymas,"rugsėjis,spalis,sausis",5,vidutinė,labai aukštas,3,21,PDF situacijų kortelės,Mano ribos: kada galiu pasakyti NE?,"Draugas nori apkabinti, o tu nenori – ką galėtum pasakyti? | Kažkas ima tavo daiktą – kaip aiškiai išsakyti ribą? | Pasirink frazę, kuri gerbia kito vaiko NE | Ką daryti, jei tavo NE ignoruojamas? | Atpažink situaciją, kada reikia kreiptis į suaugusįjį | Surūšiuok: mano sprendimas / bendras susitarimas | Užbaik sakinį „Man nepatinka, kai...“ | Rask atsakymą, gerbiantį abiejų vaikų ribas",situacija → ribos | saugi frazė | pagalbos prašymas,reikia šaltinių,"Vaiko teisių, socialinio-emocinio ir saugaus elgesio metodinė medžiaga.",24 situacijos + frazių kortelės,pedagogai
Pažintinis ugdymas,Priežastis ir pasekmė kasdienybėje,4–7 m.,Pažintinis ugdymas,"rugsėjis,sausis,balandis",5,žema,labai aukštas,3,21,PDF / PPT,Kas nutiko ir kodėl?,"Ledas paliktas šiltoje patalpoje – kas nutiks? | Augalas savaitę nelaistytas – pasirink pasekmę | Lyja, žmogus išėjo be skėčio – kas gali nutikti? | Sudėliok poras: priežastis → pasekmė | Iš 3 priežasčių pasirink tikėtiniausią balos atsiradimui | Paveikslėlyje nulūžusi šaka – kas galėjo nutikti? | Sugalvok dvi tos pačios pasekmės priežastis | Pakeisk vieną sąlygą ir numatyk naują rezultatą",priežastis → pasekmė | kas pasikeistų? | klaidos paieška,bendras,Ikimokyklinio ugdymo gairės / pažinimo kompetencijos metodinė medžiaga.,30 situacijų,pedagogai
Pažintinis ugdymas,"Kas pirmiau, kas paskui? Procesų sekos",3–7 m.,Pažintinis ugdymas,"rugsėjis,spalis,balandis",5,vidutinė,labai aukštas,3,21,PDF sekų kortelės,Nuo pradžios iki pabaigos,"Sudėliok sėkla → daigas → augalas | Sudėliok grūdas → miltai → tešla → duona | Kas vyksta prieš valantis dantis ir po to? | Sudėliok laiško kelią nuo parašymo iki gavėjo | Kiaušinis → viščiukas: rask trūkstamą etapą | Atkurk 4 rankų plovimo žingsnius | Kuris paveikslėlis negali būti antras? | Paaiškink, kodėl pasirinkai tokią seką",sekos | trūkstamas etapas | paaiškink kodėl,bendras,Ikimokyklinio / priešmokyklinio ugdymo pažinimo ir kalbinės veiklos rekomendacijos.,12–16 sekų po 3–5 korteles,pedagogai
Karjeros ugdymas,Profesija pagal problemą ir gebėjimus,8–14 m.,Karjeros ugdymas,"rugsėjis,spalis,gegužė",4,žema,aukštas,4,24,PDF / PPT,Kas sprendžia šią problemą?,Namuose trūko vamzdis – kokio specialisto reikia? | Reikia suprojektuoti tiltą – kokios profesijos bendradarbiauja? | Gyvūnas susirgo – kuo skiriasi gydytojas ir veterinaras? | Sujunk profesiją su reikalingais gebėjimais | Kuri profesija galėtų spręsti aplinkosaugos problemą? | Atspėk profesiją iš darbo užduočių | Kuri profesija čia netinka ir kodėl? | Sugalvok profesiją pagal pateiktą problemą,problema → profesija | gebėjimai | profesijų bendradarbiavimas,būtina tikrinti,"Karjeros ugdymo metodinė medžiaga, AIKOS / oficialūs profesijų aprašai.",30 situacijų / 3 blokai,pedagogai
Logopedija,Garsų diferencijavimas žodžiuose,4–8 m.,Logopedija,"rugsėjis,sausis,kovas",5,vidutinė,labai aukštas,4,21,PDF kortelės,Girdžiu ir skiriu: dviejų garsų poros,"Iš 6 paveikslėlių atrink žodžius su pirmuoju garsu | Atrink žodžius su antruoju garsu | Rask paveikslėlį, kurio garsas kitoks | Nustatyk, ar garsas žodžio pradžioje ar pabaigoje | Sujunk garsą su paveikslėliu | Pasakyk žodį ir pakelk tinkamo garso kortelę | Rask minimalią porą | Sugalvok dar vieną žodį su pasirinktu garsu",klausau → skiriu | vieta žodyje | tariu / pritaikau,reikia šaltinių,Logopedinės metodikos ir fonologinio suvokimo šaltiniai; konkrečių garsų poroms tikrinti su specialistine literatūra.,30–40 kortelių,pedagogai
Specialusis ugdymas,Kasdienės veiklos vizualinės sekos,4–12 m.,Specialusis ugdymas,"rugsėjis,sausis",5,žema,labai aukštas,4,21,PDF vizualinės kortelės,Aš galiu pats: kasdienių veiksmų sekos,"Sudėliok rankų plovimo seką | Sudėliok pasiruošimą išeiti į lauką | Kas turi būti prieš dantų valymą? | Rask trūkstamą apsirengimo etapą | Pasirink, ką daryti baigus veiklą | Sudėliok valgymo vietos sutvarkymą | Sukurk savo ryto rutiną iš kortelių | Rask netinkamą veiksmą sekoje",vizuali seka | trūkstamas žingsnis | savarankiškumas,reikia šaltinių,Specialiojo ugdymo metodinė medžiaga; individualizuoti pagal mokinio poreikius.,10–15 sekų + pasirinkimo kortelės,pedagogai
